OldName,NewName,Column
advanced (4.0),advanced 4.0,Division
3.0 open intermediate,open 3.0 (intermediate),Division
intermediate (open 3.0),3.0 open intermediate,Division
contender 4.5+,contender(4.5),Division
contender(4.5),contender (4.5),Division
contender (4.5),contender 4.5,Division
expert 5.0+,expert 5.0,Division
premier 5.0+,premier(5.0),Division
premier (5.0),premier (5.0+),Division
premier (5.0+),premier 5.0+,Division
premier(5.0),premier 5.0,Division
contender (open 4.5),open 4.5 (contender),Division
4.5+ contender (open),contender (open 4.5),Division
4.5+ open,open 4.5+,Division
intermediate(3.0),intermediate (3.0),Division
intermediate 3.0,intermediate(3.0),Division
advanced(4.0),4.0 advanced,Division
4.0 advanced,advanced (4.0),Division
mixed 4.0+,mixed 4.0,Division
advanced 4.0,advanced(4.0),Division
women's advanced 4.0+,4.0+ women's advanced,Division
mixed advanced 4.0+,mixed advanced(4.0+),Division
mixed intermediate 2.0-3.0,mixed intermediate(2.0-3.0),Division
advanced(4.0)/intermediate(3.0),intermediate/advanced 3.0-4.0,Division
owen  bass,owen bass,Team A - Player 1
brandon brown,brandon  brown,Team A - Player 1
glen strouss,glen strous,Team A - Player 1
coleman epperson,coleman epperson's,Team A - Player 1
christina chang,christine chang,Team A - Player 1
