most_frequent_name,matched_name,score,orig_count,matched_count
eliza murray,liza murray,96,1,1
joshua chang,joshua chan,96,1,1
jonathan chen,jonathan cohen,96,1,1
daniel lacey,daniel lacy,96,1,1
tommy ricard,tommy richard,96,1,1
daniel le,daniel lee,95,1,1
matthew li,matthew lai,95,1,1
rylan smith,ryan smith,95,1,1
nic wood,nick wood,94,1,1
kevin li,kevin lui,94,1,1
nathan nguyen,jonathan nguyen,93,1,1
luke a. marshall,luke marshall,93,1,1
eduardo meloro,eduardo melero,93,1,1
christine chang,christina chang,93,1,1
joshua travis,josh  travis,92,1,1
kara clemins,kara cleminw,92,1,1
jack woolley,jake woolley,92,1,1
jeffrey yang,jeffrey wang,92,1,1
wesley joyce,wesley boyce,92,1,1
brandon fong,brandon fung,92,1,1
thomas chen,thomas chin,91,1,1
jack carney,jack barney,91,1,1
jaxon davis,jason davis,91,1,1
chad nguyen,chau nguyen,91,1,1
rachel simon,rachel son,91,1,1
kevin plante,kevin lane,91,1,1
joshua chang,joshua ang,91,1,1
james ledbetter,james ledbetter iv,91,1,1
matthew li,matthew liao,91,1,1
michael lin,michael liu,91,1,1
matthew manfredi,matt manfredi,90,1,1
dean smith,evan smith,90,1,1
tommy drake,tom drake,90,1,1
jeremiah ward,jeremiah wafford,90,1,1
iason hayes,ian hayes,90,1,1
marc-antoine labelle,marc-antoine belzile,90,1,1
caleb scow,caleb chow,90,1,1
jayson rhea,jason rea,90,1,1
