Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4
Pool Play,Intermediate Plus 2.0 - 3.5,Group A,1,Single game,Worm Early,Curry Cartel,Worm Early,15,1,,,,,Agnes Pang,Thai Do,,,Pablo Garcia,David Joseph,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group A,1,Single game,Coochie Power,Wednesday Waffles,Coochie Power,15,13,,,,,Jacky Chen,Kristy Ip,,,Zameer Masjedee,Rayhan Memon,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group A,1,Single game,Lowballers,Knitting Club,Lowballers,15,13,,,,,Nate Yandle,Aiden O'Leary,,,Pranav Acharya,Betty Yan,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group B,1,Single game,Knuckle Dusters,Perfect Match,Knuckle Dusters,15,12,,,,,Caleb Poznikoff,Jacob Chen,,,Alex Chekina,Diana Pylypenko,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group B,1,Single game,Two peas in a pot,Chris/Tam,Two peas in a pot,15,5,,,,,Kai O'Donnell,Jaian Nichols,,,Tam Albayaa,Chris Cruise,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group B,1,Single game,Raspberry Sauce,Steak Frites,Steak Frites,13,15,,,,,Rachel Cheung,Stacy Yu,,,Tristan Lee,Samuel Lee,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group C,1,Single game,The Nice Guys,Golden Eggplants,The Nice Guys,15,3,,,,,Ashaun Anand,Quentin Chiu,,,Eric Ko,Eric Ko,Brandon World,Brandon World
Pool Play,Intermediate Plus 2.0 - 3.5,Group C,1,Single game,Drop it like it's hot 🔥,AI Spike,Drop it like it's hot 🔥,15,9,,,,,Kristy Fielding,Dayton Mah,,,Isaac Puar,Asher Puar,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group C,1,Single game,Bucket Hat Ballerz,Damaged Goods,Bucket Hat Ballerz,15,11,,,,,Kaiden Mccreedy,Adam Rodenstein,,,Taylor Bailey,Joshua Chan,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group A,2,Single game,Worm Early,Wednesday Waffles,Worm Early,15,8,,,,,Agnes Pang,Thai Do,,,Zameer Masjedee,Rayhan Memon,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group A,2,Single game,Coochie Power,Blue like a dinosaur,Coochie Power,15,12,,,,,Jacky Chen,Kristy Ip,,,Andrew Plummer,Paul Dante,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group A,2,Single game,Knitting Club,Curry Cartel,Knitting Club,15,8,,,,,Pranav Acharya,Betty Yan,,,Pablo Garcia,David Joseph,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group B,2,Single game,Knuckle Dusters,Chris/Tam,Knuckle Dusters,15,8,,,,,Caleb Poznikoff,Jacob Chen,,,Tam Albayaa,Chris Cruise,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group B,2,Single game,Two peas in a pot,Guardians of the Galapagos,Two peas in a pot,15,4,,,,,Kai O'Donnell,Jaian Nichols,,,Darwin Marzo,Matt Noseworthy,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group B,2,Single game,Steak Frites,Perfect Match,Steak Frites,15,4,,,,,Tristan Lee,Samuel Lee,,,Alex Chekina,Diana Pylypenko,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group C,2,Single game,The Nice Guys,AI Spike,The Nice Guys,15,7,,,,,Ashaun Anand,Quentin Chiu,,,Isaac Puar,Asher Puar,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group C,2,Single game,Drop it like it's hot 🔥,Marlon n Lacy,Drop it like it's hot 🔥,15,13,,,,,Kristy Fielding,Dayton Mah,,,Krish Khatri,Kaleb Lee,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group C,2,Single game,Damaged Goods,Golden Eggplants,Damaged Goods,15,7,,,,,Taylor Bailey,Joshua Chan,,,Eric Ko,Eric Ko,Brandon World,Brandon World
Pool Play,Intermediate Plus 2.0 - 3.5,Group A,3,Single game,Worm Early,Knitting Club,Worm Early,15,7,,,,,Agnes Pang,Thai Do,,,Pranav Acharya,Betty Yan,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group A,3,Single game,Coochie Power,Lowballers,Lowballers,8,15,,,,,Jacky Chen,Kristy Ip,,,Nate Yandle,Aiden O'Leary,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group A,3,Single game,Blue like a dinosaur,Wednesday Waffles,Wednesday Waffles,10,15,,,,,Andrew Plummer,Paul Dante,,,Zameer Masjedee,Rayhan Memon,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group B,3,Single game,Knuckle Dusters,Steak Frites,Knuckle Dusters,15,12,,,,,Caleb Poznikoff,Jacob Chen,,,Tristan Lee,Samuel Lee,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group B,3,Single game,Two peas in a pot,Raspberry Sauce,Two peas in a pot,15,11,,,,,Kai O'Donnell,Jaian Nichols,,,Rachel Cheung,Stacy Yu,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group B,3,Single game,Guardians of the Galapagos,Chris/Tam,Guardians of the Galapagos,15,11,,,,,Darwin Marzo,Matt Noseworthy,,,Tam Albayaa,Chris Cruise,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group C,3,Single game,The Nice Guys,Damaged Goods,The Nice Guys,15,7,,,,,Ashaun Anand,Quentin Chiu,,,Taylor Bailey,Joshua Chan,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group C,3,Single game,Drop it like it's hot 🔥,Bucket Hat Ballerz,Bucket Hat Ballerz,9,15,,,,,Kristy Fielding,Dayton Mah,,,Kaiden Mccreedy,Adam Rodenstein,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group C,3,Single game,Marlon n Lacy,AI Spike,Marlon n Lacy,15,7,,,,,Krish Khatri,Kaleb Lee,,,Isaac Puar,Asher Puar,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group A,4,Single game,Worm Early,Blue like a dinosaur,Worm Early,15,9,,,,,Agnes Pang,Thai Do,,,Andrew Plummer,Paul Dante,,
Pool Play,Intermediate Plus 2.0 - 3.5,Group A,4,Single game,Coochie Power,Curry Cartel,Coochie Power,15,0,,,,,Jacky Chen,Kristy Ip,,,Pablo Garcia,David Joseph,,
