Ä,Division,Group/Bracket,Round,Match format,Squad,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Division 1 Open,PP A,1,Single game,Michigan State D1 vs NC State D1,Michigan State D1 Open A,NC State D1 Open A,Michigan State D1 Open A,21,12,,,,,Jack Drouare,Korbin Thompson,john buchanan,nathan benjiman
Pool Play,Division 1 Open,PP A,1,Single game,Michigan State D1 vs NC State D1,Michigan State D1 Open B,NC State D1 Open B,NC State D1 Open B,14,21,,,,,Weston Motloch,Zach Mazzuchi,jonah walker,Aaron Simpson
Pool Play,Division 1 Open,PP A,1,Single game,Michigan State D1 vs NC State D1,Michigan State D1 Open C,NC State D1 Open C,NC State D1 Open C,15,21,,,,,Jacob Purser,Nathan Warner,Vaughn gooding,eli mosley
Pool Play,Division 1 Open,PP A,1,Single game,Michigan State D1 vs NC State D1,Michigan State D1 Coed,NC State D1 Coed,Michigan State D1 Coed,21,18,,,,,Caleb Rellis,Emily Lubahn,Alex DuBois,jadyn steele
Pool Play,Division 1 Women's,PP A,1,Single game,Michigan State D1 vs NC State D1,Michigan State D1 Women's,NC State D1 Women's,Michigan State D1 Women's,21,14,,,,,Katie Hansen,Natalie Hansen,laura zachar,rosie craven
Pool Play,Division 1 Open,PP A,1,Single game,UGA Black vs Michigan State D1,UGA Black Open A,Michigan State D1 Open A,UGA Black Open A,21,17,,,,,Andrew Yancey,Peyton Stack,Jack Drouare,Korbin Thompson
Pool Play,Division 1 Open,PP A,1,Single game,UGA Black vs Michigan State D1,UGA Black Open B,Michigan State D1 Open B,UGA Black Open B,21,8,,,,,Isaac Mixon,Nate Von Der Sitt,Weston Motloch,Zach Mazzuchi
Pool Play,Division 1 Open,PP A,1,Single game,UGA Black vs Michigan State D1,UGA Black Open C,Michigan State D1 Open C,UGA Black Open C,21,13,,,,,Jeremy Lee,Luke Nettles,Jacob Purser,Nathan Warner
Pool Play,Division 1 Open,PP A,1,Single game,UGA Black vs Michigan State D1,UGA Black Coed,Michigan State D1 Coed,UGA Black Coed,21,17,,,,,Braedan Thomas,Kirra Diaz,Caleb Rellis,Emily Lubahn
Pool Play,Division 1 Women's,PP A,1,Single game,UGA Black vs Michigan State D1,UGA Black Women's,Michigan State D1 Women's,UGA Black Women's,21,7,,,,,Mckenna Mckean,Savannah Obert,Katie Hansen,Natalie Hansen
Pool Play,Division 1 Open,PP A,1,Single game,NEU D1 vs NC State D1,NEU D1 Open A,NC State D1 Open A,NEU D1 Open A,21,19,,,,,Andrew Nee,sam diani,john buchanan,nathan benjiman
Pool Play,Division 1 Open,PP A,1,Single game,NEU D1 vs NC State D1,NEU D1 Open B,NC State D1 Open B,NEU D1 Open B,21,9,,,,,Jackson Biggs,Mitchell Whelan,jonah walker,Aaron Simpson
Pool Play,Division 1 Open,PP A,1,Single game,NEU D1 vs NC State D1,NEU D1 Open C,NC State D1 Open C,NEU D1 Open C,21,10,,,,,Aidan Sprouls,Tim Matten,Vaughn gooding,eli mosley
Pool Play,Division 1 Open,PP A,1,Single game,NEU D1 vs NC State D1,NEU D1 Coed,NC State D1 Coed,NEU D1 Coed,21,6,,,,,Abigale Lamontagne,Matt Wallach,Alex DuBois,jadyn steele
