Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Round Robin,The Cool Kids,Group A,1,Single game,Saucy Sets,Middlesticks,Saucy Sets,21,12,Anil Patel,David Aschenbrenner,Josh Kucera,Shivum Dang
Round Robin,The Cool Kids,Group A,1,Single game,Bobby Spike Jr. Worshippers,dropstop,Bobby Spike Jr. Worshippers,21,15,Jamisen Wrinkle,Chris Schall,Sophia Zhao,Benjamin Reddaway
Round Robin,The Cool Kids,Group A,1,Single game,Elijah & Andrew,Performative Players,Elijah & Andrew,21,19,Elijah Gastineau,Andrew Gasaway,Connor Mahony,Adam He
Round Robin,The Cool Kids,Group A,2,Single game,Saucy Sets,dropstop,Saucy Sets,21,10,Anil Patel,David Aschenbrenner,Sophia Zhao,Benjamin Reddaway
Round Robin,The Cool Kids,Group A,2,Single game,Bobby Spike Jr. Worshippers,Mac N' Cheese,Bobby Spike Jr. Worshippers,21,15,Jamisen Wrinkle,Chris Schall,Austin Lauser,Sadie Lauser
Round Robin,The Cool Kids,Group A,2,Single game,Performative Players,Middlesticks,Middlesticks,17,21,Connor Mahony,Adam He,Josh Kucera,Shivum Dang
Round Robin,The Cool Kids,Group A,3,Single game,Saucy Sets,Performative Players,Saucy Sets,21,13,Anil Patel,David Aschenbrenner,Connor Mahony,Adam He
Round Robin,The Cool Kids,Group A,3,Single game,Bobby Spike Jr. Worshippers,Elijah & Andrew,Bobby Spike Jr. Worshippers,21,18,Jamisen Wrinkle,Chris Schall,Elijah Gastineau,Andrew Gasaway
Round Robin,The Cool Kids,Group A,3,Single game,Mac N' Cheese,dropstop,Mac N' Cheese,21,11,Austin Lauser,Sadie Lauser,Sophia Zhao,Benjamin Reddaway
Round Robin,The Cool Kids,Group A,4,Single game,Saucy Sets,Mac N' Cheese,Mac N' Cheese,19,21,Anil Patel,David Aschenbrenner,Austin Lauser,Sadie Lauser
Round Robin,The Cool Kids,Group A,4,Single game,Bobby Spike Jr. Worshippers,Middlesticks,Bobby Spike Jr. Worshippers,21,8,Jamisen Wrinkle,Chris Schall,Josh Kucera,Shivum Dang
Round Robin,The Cool Kids,Group A,4,Single game,Elijah & Andrew,dropstop,Elijah & Andrew,21,18,Elijah Gastineau,Andrew Gasaway,Sophia Zhao,Benjamin Reddaway
Round Robin,The Cool Kids,Group A,5,Single game,Bobby Spike Jr. Worshippers,Performative Players,Bobby Spike Jr. Worshippers,21,14,Jamisen Wrinkle,Chris Schall,Connor Mahony,Adam He
Round Robin,The Cool Kids,Group A,5,Single game,Elijah & Andrew,Mac N' Cheese,Elijah & Andrew,21,17,Elijah Gastineau,Andrew Gasaway,Austin Lauser,Sadie Lauser
Round Robin,The Cool Kids,Group A,5,Single game,dropstop,Middlesticks,Middlesticks,12,21,Sophia Zhao,Benjamin Reddaway,Josh Kucera,Shivum Dang
Round Robin,The Cool Kids,Group A,6,Single game,Saucy Sets,Elijah & Andrew,Saucy Sets,21,18,Anil Patel,David Aschenbrenner,Elijah Gastineau,Andrew Gasaway
Round Robin,The Cool Kids,Group A,6,Single game,Mac N' Cheese,Middlesticks,Mac N' Cheese,21,17,Austin Lauser,Sadie Lauser,Josh Kucera,Shivum Dang
Round Robin,The Cool Kids,Group A,6,Single game,Performative Players,dropstop,Performative Players,21,6,Connor Mahony,Adam He,Sophia Zhao,Benjamin Reddaway
Round Robin,The Cool Kids,Group A,7,Single game,Saucy Sets,Bobby Spike Jr. Worshippers,Bobby Spike Jr. Worshippers,22,24,Anil Patel,David Aschenbrenner,Jamisen Wrinkle,Chris Schall
Round Robin,The Cool Kids,Group A,7,Single game,Elijah & Andrew,Middlesticks,Elijah & Andrew,21,17,Elijah Gastineau,Andrew Gasaway,Josh Kucera,Shivum Dang
Round Robin,The Cool Kids,Group A,7,Single game,Mac N' Cheese,Performative Players,Performative Players,19,21,Austin Lauser,Sadie Lauser,Connor Mahony,Adam He
