Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4
Group Stage,Men's Elite / Élite (masculin),Group A,1,Single game,Swamp Donkeys,Jake n Josh,Swamp Donkeys,21,9,,,,,Emerson Dean,Etienne Cote,,,Joshua Chui,Jake Jimenez,,
Group Stage,Men's Elite / Élite (masculin),Group A,1,Single game,Gingey,Fries & Rice,Gingey,25,24,,,,,Jordan Brandes,Josh Brandes,,,Bram Declercq,Carlin Vicera,,
Group Stage,Men's Elite / Élite (masculin),Group B,1,Single game,Sub-Zero,Fortified,Sub-Zero,21,15,,,,,Gabriel Monfette,Olivier Aglot,,,Carlos Nakamura,Blake Clarke,,
Group Stage,Men's Elite / Élite (masculin),Group B,1,Single game,CRO Weather Boosted,Read/White Memory,Read/White Memory,14,21,,,,,Adrian Garcea,Nicholas Puopolo,,,Liam Read,Justin White,,
Group Stage,Men's Elite / Élite (masculin),Group C,1,Single game,Wesburn,;-),Wesburn,21,11,,,,,Eddy Leung,Ivan Zeng,,,kolton falk,Josiah  Falk,,
Group Stage,Men's Elite / Élite (masculin),Group C,1,Single game,CRO Premier and 30?!? 😱,wraith and gibby,CRO Premier and 30?!? 😱,21,11,,,,,Tyler Babin,Chris Brown,,,Joshua Chang,Jovan Tang,,
Group Stage,Men's Elite / Élite (masculin),Group C,1,Single game,Prairie Oysters,JK Spikes,Prairie Oysters,21,13,,,,,Keaton Kirchner,Deryk Kirchner,,,Kirby Bauman,Jaden Weber,,
Group Stage,Men's Elite / Élite (masculin),Group A,2,Single game,Swamp Donkeys,Fries & Rice,Swamp Donkeys,21,12,,,,,Emerson Dean,Etienne Cote,,,Bram Declercq,Carlin Vicera,,
Group Stage,Men's Elite / Élite (masculin),Group A,2,Single game,Cuts Wide Man,Jake n Josh,Cuts Wide Man,21,8,,,,,Jake Lepp,Nick Wideman,,,Joshua Chui,Jake Jimenez,,
Group Stage,Men's Elite / Élite (masculin),Group B,2,Single game,Sub-Zero,Read/White Memory,Sub-Zero,21,16,,,,,Gabriel Monfette,Olivier Aglot,,,Liam Read,Justin White,,
