"","tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score","Date","valid","T1_result","Weight","game_id"
"1","2021TEXAS","WOMEN'S","POOL","GRAHAM/ROGERS","CELEBRATION","ALLI KAUFFMAN ROGERS","BECCA GRAHAM","ALLISON JENNERICH","JULIA BROCHU",15,8,21-06-12,"TRUE",1,1,1
"2","2021TEXAS","WOMEN'S","POOL","GRAHAM/ROGERS","CELEBRATION","ALLI KAUFFMAN ROGERS","BECCA GRAHAM","ALLISON JENNERICH","JULIA BROCHU",15,9,21-06-12,"TRUE",1,1,2
"3","2021TEXAS","WOMEN'S","POOL","MIGHTY ICY","DEUCES","KATIE PARKER","MEY HELM","KATIE PIERSON","MARANDA DOVE",11,15,21-06-12,"TRUE",0,1,3
"4","2021TEXAS","WOMEN'S","POOL","MIGHTY ICY","DEUCES","KATIE PARKER","MEY HELM","KATIE PIERSON","MARANDA DOVE",8,15,21-06-12,"TRUE",0,1,4
"5","2021TEXAS","WOMEN'S","POOL","TWINZ","718 MILES","ALI JENKI","OLIVIA JENKI","KENYA MEDINA","SARAH ALLEN",15,9,21-06-12,"TRUE",1,1,5
"6","2021TEXAS","WOMEN'S","POOL","TWINZ","718 MILES","ALI JENKI","OLIVIA JENKI","KENYA MEDINA","SARAH ALLEN",15,6,21-06-12,"TRUE",1,1,6
"7","2021TEXAS","WOMEN'S","POOL","THUS PARABATAI","ZOOMIES","KALIN MIRAMONTES","KAYLA WU","KARAH HUI","ALLIE FOSTER",15,13,21-06-12,"TRUE",1,1,7
"8","2021TEXAS","WOMEN'S","POOL","THUS PARABATAI","ZOOMIES","KALIN MIRAMONTES","KAYLA WU","KARAH HUI","ALLIE FOSTER",12,15,21-06-12,"TRUE",0,1,8
"9","2021TEXAS","WOMEN'S","POOL","THUS PARABATAI","ZOOMIES","KALIN MIRAMONTES","KAYLA WU","KARAH HUI","ALLIE FOSTER",15,11,21-06-12,"TRUE",1,1,9
"10","2021TEXAS","WOMEN'S","POOL","A PLAYA NAMED GUS","THE MANDASCORIANS","SHANNON TUBBESING","SHACHI PATEL","JULIE OROZCO","AUNALISA HARRISON",15,4,21-06-12,"TRUE",1,1,10
"11","2021TEXAS","WOMEN'S","POOL","A PLAYA NAMED GUS","THE MANDASCORIANS","SHANNON TUBBESING","SHACHI PATEL","JULIE OROZCO","AUNALISA HARRISON",15,2,21-06-12,"TRUE",1,1,11
"12","2021TEXAS","WOMEN'S","POOL","NEW KIDS ON THE BLOCK","OKIE DOKIE","KATIE BARTLEY","COURTNEY MIDDELKOOP","BEKAH SMITH","EMILY ASHWORTH",15,14,21-06-12,"TRUE",1,1,12
