"tourney","Division","Round","Stage","Group.Bracket","Match.format","Team.A","Team.B","Winning.team","Game.1...Score.team.A","Game.1...Score.team.B","Game.2...Score.team.A","Game.2...Score.team.B","Game.3...Score.team.A","Game.3...Score.team.B","Team.A...Player.1","Team.A...Player.2","Team.B...Player.1","Team.B...Player.2","Date","game_id","mT1P1","mT1P2","mT2P1","mT2P2","mT1_result","mT1_score","mT2_score"
"2021FLORIDA","PREMIER","POOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-05-22,1,"RYAN FITZGERALD","JARRATT ROUSE","BRENDAN FERREIRA","RYAN MARINO",1,22,20
"2021FLORIDA","PREMIER","POOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-05-22,2,"RYAN FITZGERALD","JARRATT ROUSE","BRENDAN FERREIRA","RYAN MARINO",1,21,19
"2021FLORIDA","PREMIER","POOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-05-22,3,"COLEMAN EPPERSON","FREDRIC HINKLE","DAWSON MORGAN","MAX BILLINGHURST",1,21,16
"2021FLORIDA","PREMIER","POOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-05-22,4,"COLEMAN EPPERSON","FREDRIC HINKLE","DAWSON MORGAN","MAX BILLINGHURST",1,21,14
"2021FLORIDA","PREMIER","POOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-05-22,5,"DAVID GONZALES","PATRIC CHU","GARRETT HORNOK","NOAH LUSKUS",0,20,22
"2021FLORIDA","PREMIER","POOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-05-22,6,"DAVID GONZALES","PATRIC CHU","GARRETT HORNOK","NOAH LUSKUS",1,21,19
"2021FLORIDA","PREMIER","POOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-05-22,7,"DAVID GONZALES","PATRIC CHU","GARRETT HORNOK","NOAH LUSKUS",1,21,19
"2021FLORIDA","PREMIER","POOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-05-22,8,"ADDISON POWERS","MICAH CORBETT","DAN ABRAMS","RAVI KANDULA",1,21,17
"2021FLORIDA","PREMIER","POOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-05-22,9,"ADDISON POWERS","MICAH CORBETT","DAN ABRAMS","RAVI KANDULA",1,21,19
"2021FLORIDA","PREMIER","POOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-05-22,10,"RYAN FITZGERALD","JARRATT ROUSE","DAWSON MORGAN","MAX BILLINGHURST",1,21,18
