Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
ELITE GROUP STAGE,Elite,Group A,1,Single game,Père et Fils,16-35mm,Père et Fils,21,15,,,,,Vincent Mathieu,Olivier Laurin,Adrian Garcea,Keaton Kirchner
ELITE GROUP STAGE,Elite,Group A,1,Single game,Sensure,Équipe Mrgence,Sensure,21,16,,,,,Vincent Bastrash,Thomas Lemieux,Simon Toupin,Maxime Rome-Gosselin
ELITE GROUP STAGE,Elite,Group A,1,Single game,X-LARGE,Kokiri,Kokiri,19,21,,,,,Karl Pominville,Élie Pilon,Liam Read,Carlin Vicera
ELITE GROUP STAGE,Elite,Group B,1,Single game,Wesburn,NEM Aced by Vinny,Wesburn,21,15,,,,,Eddy Leung,Ivan Zeng,Justin Cho,Brock Leibold
ELITE GROUP STAGE,Elite,Group B,1,Single game,Sub-Zero,Great White Shark 🦈,Sub-Zero,22,20,,,,,Gabriel Monfette,Olivier Aglot,Etienne Cote,Shardul Ghuge
ELITE GROUP STAGE,Elite,Group A,2,Single game,Père et Fils,Équipe Mrgence,Père et Fils,21,11,,,,,Vincent Mathieu,Olivier Laurin,Simon Toupin,Maxime Rome-Gosselin
ELITE GROUP STAGE,Elite,Group A,2,Single game,Sensure,X-LARGE,Sensure,21,17,,,,,Vincent Bastrash,Thomas Lemieux,Karl Pominville,Élie Pilon
ELITE GROUP STAGE,Elite,Group A,2,Single game,Kokiri,16-35mm,16-35mm,16,21,,,,,Liam Read,Carlin Vicera,Adrian Garcea,Keaton Kirchner
ELITE GROUP STAGE,Elite,Group B,2,Single game,Wesburn,Great White Shark 🦈,Wesburn,21,18,,,,,Eddy Leung,Ivan Zeng,Etienne Cote,Shardul Ghuge
ELITE GROUP STAGE,Elite,Group B,2,Single game,Salt & Pepper,NEM Aced by Vinny,Salt & Pepper,21,14,,,,,Philip Drouin,Scott Pasiechnyk,Justin Cho,Brock Leibold
ELITE GROUP STAGE,Elite,Group A,3,Single game,Père et Fils,Kokiri,Père et Fils,21,5,,,,,Vincent Mathieu,Olivier Laurin,Liam Read,Carlin Vicera
ELITE GROUP STAGE,Elite,Group A,3,Single game,Sensure,16-35mm,Sensure,21,14,,,,,Vincent Bastrash,Thomas Lemieux,Adrian Garcea,Keaton Kirchner
ELITE GROUP STAGE,Elite,Group A,3,Single game,X-LARGE,Équipe Mrgence,X-LARGE,21,10,,,,,Karl Pominville,Élie Pilon,Simon Toupin,Maxime Rome-Gosselin
ELITE GROUP STAGE,Elite,Group B,3,Single game,Wesburn,Salt & Pepper,Wesburn,21,18,,,,,Eddy Leung,Ivan Zeng,Philip Drouin,Scott Pasiechnyk
