Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Pool Play,Open Pro 6.0+,Group A,1,Single game,Numb,Tilted,Numb,21,13,,,,,Kieran Rose,Paq Clifford,,Justin Barr,Will Picone,
Pool Play,Open Pro 6.0+,Group A,1,Single game,Cold Sweep,Bot House,Cold Sweep,21,18,,,,,Maxime Prince,Vincent Mathieu,,West Peterson,Owen Lippman,
Pool Play,Open Pro 6.0+,Group B,1,Single game,Eisenträger/Siemer,Bazzani/Borsotti,Eisenträger/Siemer,21,10,,,,,Paul Siemer,Eisenträger Lukas,,Andrea Borsotti,Nicola Bazzani,
Pool Play,Open Pro 6.0+,Group B,1,Single game,Insystem,V⚡️RGA,V⚡️RGA,23,25,,,,,Etienne Cote,Blake Bosak,Blake Bosak,Dawson Morgan,Caleb Cummings,
Pool Play,Open Pro 6.0+,Group C,1,Single game,Extra,foolish,foolish,13,21,,,,,Jé Gagnon,Emerson Dean,,Lucas Pruett,Sunny Gu,
Pool Play,Open Pro 6.0+,Group C,1,Single game,Ultra Instinct,Kingdom Come,Ultra Instinct,21,17,,,,,Gabriel Finocchi,Thomas Hamilton,,Grant Klapwijk,Matthew Cole,
Pool Play,Open Pro 6.0+,Group D,1,Single game,Zwaffle everyone,Degenerates,Degenerates,19,21,,,,,Levi Vandaele,Robin Florinda,,Jack coolbaugh,Thomas Hoffman,
Pool Play,Open Pro 6.0+,Group D,1,Single game,TRP Spotless,J.A.R.V.I.S.,J.A.R.V.I.S.,17,21,,,,,Ryan Gross,Joe Bondi,,Connor Nelson,Josh Fragiacomo,
Pool Play,Open Pro 6.0+,Group A,2,Single game,Numb,Bot House,Bot House,18,21,,,,,Kieran Rose,Paq Clifford,,West Peterson,Owen Lippman,
Pool Play,Open Pro 6.0+,Group A,2,Single game,Cold Sweep,Tilted,Tilted,20,22,,,,,Maxime Prince,Vincent Mathieu,,Justin Barr,Will Picone,
Pool Play,Open Pro 6.0+,Group B,2,Single game,Eisenträger/Siemer,V⚡️RGA,V⚡️RGA,18,21,,,,,Paul Siemer,Eisenträger Lukas,,Dawson Morgan,Caleb Cummings,
Pool Play,Open Pro 6.0+,Group B,2,Single game,Insystem,Bazzani/Borsotti,Insystem,23,21,,,,,Etienne Cote,Blake Bosak,Blake Bosak,Andrea Borsotti,Nicola Bazzani,
Pool Play,Open Pro 6.0+,Group C,2,Single game,Extra,Kingdom Come,Kingdom Come,18,21,,,,,Jé Gagnon,Emerson Dean,,Grant Klapwijk,Matthew Cole,
Pool Play,Open Pro 6.0+,Group C,2,Single game,Ultra Instinct,foolish,foolish,17,21,,,,,Gabriel Finocchi,Thomas Hamilton,,Lucas Pruett,Sunny Gu,
