"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"championship2024","Open Pro 6.0+","Pool","Numb","Tilted","Kieran Rose","Paq Clifford","Justin Barr","Will Picone",21,13
"championship2024","Open Pro 6.0+","Pool","Cold Sweep","Bot House","Maxime Prince","Vincent Mathieu","West Peterson","Owen Lippman",21,18
"championship2024","Open Pro 6.0+","Pool","Eisenträger/Siemer","Bazzani/Borsotti","Paul Siemer","Eisenträger Lukas","Andrea Borsotti","Nicola Bazzani",21,10
"championship2024","Open Pro 6.0+","Pool","Insystem","V⚡️RGA","Etienne Cote","Blake Bosak","Dawson Morgan","Caleb Cummings",23,25
"championship2024","Open Pro 6.0+","Pool","Extra","foolish","Jé Gagnon","Emerson Dean","Lucas Pruett","Sunny Gu",13,21
"championship2024","Open Pro 6.0+","Pool","Ultra Instinct","Kingdom Come","Gabriel Finocchi","Thomas Hamilton","Grant Klapwijk","Matthew Cole",21,17
"championship2024","Open Pro 6.0+","Pool","Zwaffle everyone","Degenerates","Levi Vandaele","Robin Florinda","Jack coolbaugh","Thomas Hoffman",19,21
"championship2024","Open Pro 6.0+","Pool","TRP Spotless","J.A.R.V.I.S.","Ryan Gross","Joe Bondi","Connor Nelson","Josh Fragiacomo",17,21
"championship2024","Open Pro 6.0+","Pool","Numb","Bot House","Kieran Rose","Paq Clifford","West Peterson","Owen Lippman",18,21
"championship2024","Open Pro 6.0+","Pool","Cold Sweep","Tilted","Maxime Prince","Vincent Mathieu","Justin Barr","Will Picone",20,22
"championship2024","Open Pro 6.0+","Pool","Eisenträger/Siemer","V⚡️RGA","Paul Siemer","Eisenträger Lukas","Dawson Morgan","Caleb Cummings",18,21
"championship2024","Open Pro 6.0+","Pool","Insystem","Bazzani/Borsotti","Etienne Cote","Blake Bosak","Andrea Borsotti","Nicola Bazzani",23,21
"championship2024","Open Pro 6.0+","Pool","Extra","Kingdom Come","Jé Gagnon","Emerson Dean","Grant Klapwijk","Matthew Cole",18,21
"championship2024","Open Pro 6.0+","Pool","Ultra Instinct","foolish","Gabriel Finocchi","Thomas Hamilton","Lucas Pruett","Sunny Gu",17,21
"championship2024","Open Pro 6.0+","Pool","Zwaffle everyone","J.A.R.V.I.S.","Levi Vandaele","Robin Florinda","Connor Nelson","Josh Fragiacomo",18,21
"championship2024","Open Pro 6.0+","Pool","TRP Spotless","Degenerates","Ryan Gross","Joe Bondi","Jack coolbaugh","Thomas Hoffman",21,12
"championship2024","Open Pro 6.0+","Pool","Numb","Cold Sweep","Kieran Rose","Paq Clifford","Maxime Prince","Vincent Mathieu",21,14
"championship2024","Open Pro 6.0+","Pool","Bot House","Tilted","West Peterson","Owen Lippman","Justin Barr","Will Picone",21,19
"championship2024","Open Pro 6.0+","Pool","Eisenträger/Siemer","Insystem","Paul Siemer","Eisenträger Lukas","Etienne Cote","Blake Bosak",21,17
"championship2024","Open Pro 6.0+","Pool","V⚡️RGA","Bazzani/Borsotti","Dawson Morgan","Caleb Cummings","Andrea Borsotti","Nicola Bazzani",21,16
"championship2024","Open Pro 6.0+","Pool","Extra","Ultra Instinct","Jé Gagnon","Emerson Dean","Gabriel Finocchi","Thomas Hamilton",15,21
"championship2024","Open Pro 6.0+","Pool","Kingdom Come","foolish","Grant Klapwijk","Matthew Cole","Lucas Pruett","Sunny Gu",23,25
